Username,Text,Created At,Retweets,Likes,Sentiment
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Goals for 2023:
- Win promotion with @realbedford 
- 20m downloads of pod
- Be less fat",2022-12-31 10:10:19+00:00,1,212,1
DETERMINISTIC OPTIMISM 🌞,"@fiatjaf Stablecoins are on-ramps to bitcoin, they further defang capital controls.

The dollar is the best Shitcoin, 8b ppl still need to Shitcoin first, before they start saving in Bitcoin.",2022-12-31 12:55:30+00:00,0,18,-1
Anthony Pompliano 🌪,Worth reading. Has become my favorite business book https://t.co/NTYOqp4oI7,2022-12-31 13:06:18+00:00,100,967,0
Jameson Lopp,"2022 commits &amp; contributors:

Bitcoin Core: 2,587 &amp; 143
Core ⚡️: 1,573 &amp; 61
libbitcoin: 1,182 &amp; 3
lnd: 1,140 &amp; 83
Rust ⚡️: 908 &amp; 45
BTCPay: 841 &amp; 44
Rust Bitcoin: 706 &amp; 45
Bitcoin-s: 676 &amp; 9
BDK: 246 &amp; 35
Eclair: 244 &amp; 12
btcd: 165 &amp; 25
BitcoinJS: 111 &amp; 8
NBitcoin: 106 &amp; 16",2022-12-31 15:44:14+00:00,10,68,0
Jason Deane,"Just listened to this as missed it before. As a fellow macro guy, can confirm it's as dire as it sounds, sadly. 
Up to all of us individually, more than ever, to learn &amp; protect our own positions, recommend starting here. #bitcoin @PeterMcCormack  https://t.co/QUqPMVeywu",2022-12-31 15:55:35+00:00,1,1,0
Jason Deane,"Started @ ing great people who've done a great job spreading understanding &amp; adoption of #Bitcoin in '22.
Realised it was too long &amp; got paranoid I'd miss people out.
So deleted the lot.
Instead going with: 
""Keep doing what you're doing lovely people. You know who you are"" #HNY https://t.co/18asL24d1L",2022-12-31 17:29:44+00:00,3,5,1
Elon Musk,"@hodgetwins @TheBabylonBee Key test for authenticity is how someone is in live back &amp; forth discussion where canned speeches don’t work, eg Twitter Spaces. Has she done anything like that?",2022-12-31 18:16:51+00:00,1402,19876,1
Elon Musk,Sometimes it’s just better to make pizza at home,2022-12-31 18:26:16+00:00,38144,750012,1
Anthony Pompliano 🌪,Charles Koch on staying private forever vs going public https://t.co/lWaqtIYlkE,2022-12-31 19:26:59+00:00,58,455,0
DETERMINISTIC OPTIMISM 🌞,@BTC_Bernoulli @brian_trollz Bullying NVK tends to result in the opposite.,2022-12-31 20:08:54+00:00,0,2,0
Mohamed A. El-Erian,"From the @FT.
Interesting (and unusual) to see the @OECD warn about liquidity risk.
More broadly, I suspect #markets have priced in about
90% of the inflation/interest rate risk,
55% of the recession/credit/earnings risk, and
are yet to figure out how best to price liquidity risk https://t.co/CaLzI7iYoq",2022-12-31 20:33:25+00:00,42,238,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"That we have not seen any evidence beyond him openly admitting that he coerces young girls into making porn and uses violence to control them. 

That these are serious accusations and any victims should be listened to with respect and not bullied by Tate’s simps. https://t.co/Cyxq5uFSs2",2022-12-31 21:10:39+00:00,25,592,0
Jameson Lopp,"A ship in harbor is safe, but that is not what ships are built for. https://t.co/THL6DV1Oro",2022-12-31 21:26:06+00:00,61,521,0
Elon Musk,@jpr007 I’d like to thank the people of Norway again for their incredible support of electric vehicles. Norway rocks!! 🇳🇴,2022-12-31 22:15:41+00:00,1698,46423,1
Anthony Pompliano 🌪,"Here are the 2022 numbers to close out the year:

- 25+ million podcast downloads
- 60+ million YouTube views
- 14+ million email reads
- 33+ million TikTok views (lol)

I genuinely appreciate the opportunity to engage with so many people and don't take it lightly - thank you 🙏🏼",2022-12-31 23:10:24+00:00,14,469,1
Mohamed A. El-Erian,. #CFBPlayoff @NCAA #VRBOFiestaBowl #vrbo @TCUFootball @UMichFootball #tcuvsmich https://t.co/J9WitsddAe,2022-12-31 23:48:39+00:00,4,223,0
Michael Saylor,#Bitcoin into 2023 🚀 https://t.co/EQqJUvUVdi,2022-12-31 23:57:16+00:00,1631,11720,1
